Airport,Month,Dest,Arr_sum,LateArr_sum,n.x,Origin,Dep_sum,LateDep_sum,n.y,Total flights,Arriveral ontime percentage (%),Departure ontime percentage (%),Airport/City
ATL,Jul-2008,ATL,35186,9520,35186,ATL,35531,10428,35531,70717,73%,71%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Mar-2008,ATL,35170,9760,35170,ATL,35294,9840,35294,70464,72%,72%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Jun-2008,ATL,34963,7408,34963,ATL,34996,7732,34996,69959,79%,78%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Aug-2008,ATL,34919,7381,34919,ATL,34974,7902,34974,69893,79%,77%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Oct-2008,ATL,34482,6264,34482,ATL,34543,5329,34543,69025,82%,85%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,May-2008,ATL,34369,4944,34369,ATL,34399,4685,34399,68768,86%,86%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Apr-2008,ATL,34230,6866,34230,ATL,34277,6537,34277,68507,80%,81%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Nov-2008,ATL,33579,7520,33579,ATL,33629,5944,33629,67208,78%,82%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Dec-2008,ATL,33057,11362,33057,ATL,33049,9557,33049,66106,66%,71%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Sep-2008,ATL,32668,4312,32668,ATL,32728,3705,32728,65396,87%,89%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Jan-2008,ATL,32545,6289,32545,ATL,32625,6597,32625,65170,81%,80%,"Hartsfield Intl Arpt, Atlanta, GA"
ATL,Feb-2008,ATL,31576,8364,31576,ATL,31656,7928,31656,63232,74%,75%,"Hartsfield Intl Arpt, Atlanta, GA"
ORD,Jul-2008,ORD,30553,8377,30553,ORD,30666,8553,30666,61219,73%,72%,"O'Hare Intl Arpt, Chicago, IL"
ORD,May-2008,ORD,29894,6897,29894,ORD,30019,6554,30019,59913,77%,78%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Aug-2008,ORD,29805,5523,29805,ORD,29903,6243,29903,59708,81%,79%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Jun-2008,ORD,28930,11714,28930,ORD,29046,10816,29046,57976,60%,63%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Apr-2008,ORD,28591,7253,28591,ORD,28735,7336,28735,57326,75%,74%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Oct-2008,ORD,28594,3980,28594,ORD,28641,3859,28641,57235,86%,87%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Mar-2008,ORD,28333,8691,28333,ORD,28394,8921,28394,56727,69%,69%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Sep-2008,ORD,27537,5823,27537,ORD,27682,5333,27682,55219,79%,81%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Jan-2008,ORD,27401,11177,27401,ORD,27544,10848,27544,54945,59%,61%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Nov-2008,ORD,24954,3965,24954,ORD,24968,3818,24968,49922,84%,85%,"O'Hare Intl Arpt, Chicago, IL"
DFW,Jul-2008,DFW,24911,4614,24911,DFW,24983,6073,24983,49894,81%,76%,"Dallas Ft Worth Intl, Dallas, TX"
DFW,Aug-2008,DFW,24683,5039,24683,DFW,24757,6302,24757,49440,80%,75%,"Dallas Ft Worth Intl, Dallas, TX"
ORD,Feb-2008,ORD,24421,10760,24421,ORD,24523,10551,24523,48944,56%,57%,"O'Hare Intl Arpt, Chicago, IL"
ORD,Dec-2008,ORD,24318,9295,24318,ORD,24408,9608,24408,48726,62%,61%,"O'Hare Intl Arpt, Chicago, IL"
DFW,May-2008,DFW,23838,6159,23838,DFW,23940,6314,23940,47778,74%,74%,"Dallas Ft Worth Intl, Dallas, TX"
DFW,Jun-2008,DFW,23565,6457,23565,DFW,23743,7366,23743,47308,73%,69%,"Dallas Ft Worth Intl, Dallas, TX"
DFW,Jan-2008,DFW,23119,5326,23119,DFW,23176,5516,23176,46295,77%,76%,"Dallas Ft Worth Intl, Dallas, TX"
DFW,Oct-2008,DFW,22644,2627,22644,DFW,22629,3028,22629,45273,88%,87%,"Dallas Ft Worth Intl, Dallas, TX"
DFW,Sep-2008,DFW,22577,2396,22577,DFW,22582,3055,22582,45159,89%,86%,"Dallas Ft Worth Intl, Dallas, TX"
